source_dir,policy,backbone,label,num_tasks,split,env_id,level,task,SR,SubSR,episodes,timestamp,task_base
gr00t,gr00t,unknown,gr00t,15,seen,L3_TwoRobotStirSpoon-v1,L3,TwoRobotStirSpoon,0.3,0.7370076984167099,10,2026-05-24T14:55:23,TwoRobotStirSpoon
gr00t,gr00t,unknown,gr00t,15,seen,L0_TwoRobotPlacePlateRack-v1,L0,TwoRobotPlacePlateRack,0.6,0.8901702374219894,10,2026-05-24T15:09:43,TwoRobotPlacePlateRack
gr00t,gr00t,unknown,gr00t,15,seen,L1_TwoRobotStirSpoon-v1,L1,TwoRobotStirSpoon,0.0,0.6753143593668938,10,2026-05-24T13:59:27,TwoRobotStirSpoon
gr00t,gr00t,unknown,gr00t,15,seen,L2_TwoRobotStirSpoon-v1,L2,TwoRobotStirSpoon,0.4,0.802543294429779,10,2026-05-24T13:59:28,TwoRobotStirSpoon
gr00t,gr00t,unknown,gr00t,15,seen,L0_TwoRobotStirSpoon-v1,L0,TwoRobotStirSpoon,0.6,0.7275654911994934,10,2026-05-24T13:59:29,TwoRobotStirSpoon
gr00t,gr00t,unknown,gr00t,15,seen,L2_TwoRobotPlacePlateRack-v1,L2,TwoRobotPlacePlateRack,0.3,0.6685172379016876,10,2026-05-24T14:05:03,TwoRobotPlacePlateRack
gr00t,gr00t,unknown,gr00t,15,seen,L1_TwoRobotPlacePlateRack-v1,L1,TwoRobotPlacePlateRack,0.7,0.9302170515060424,10,2026-05-24T14:05:51,TwoRobotPlacePlateRack
gr00t,gr00t,unknown,gr00t,15,seen,L1_TwoRobotPlaceFileFolder-v1,L1,TwoRobotPlaceFileFolder,0.0,0.518336397409439,10,2026-05-24T14:10:24,TwoRobotPlaceFileFolder
gr00t,gr00t,unknown,gr00t,15,seen,L0_TwoRobotPlaceFileFolder-v1,L0,TwoRobotPlaceFileFolder,0.0,0.5406217992305755,10,2026-05-24T14:10:25,TwoRobotPlaceFileFolder
gr00t,gr00t,unknown,gr00t,15,seen,L3_TwoRobotPlacePlateRack-v1,L3,TwoRobotPlacePlateRack,0.8,0.9680381834506988,10,2026-05-24T14:11:11,TwoRobotPlacePlateRack
gr00t,gr00t,unknown,gr00t,15,seen,L3_TwoRobotPlaceFileFolder-v1,L3,TwoRobotPlaceFileFolder,0.4,0.6490851163864135,10,2026-05-24T14:16:39,TwoRobotPlaceFileFolder
gr00t,gr00t,unknown,gr00t,15,seen,L2_TwoRobotPlaceFileFolder-v1,L2,TwoRobotPlaceFileFolder,0.6,0.920921555161476,10,2026-05-24T14:17:01,TwoRobotPlaceFileFolder
gr00t,gr00t,unknown,gr00t,15,seen,L0_TwoRobotPlaceMugRack-v1,L0,TwoRobotPlaceMugRack,0.0,0.9072109699249268,10,2026-05-24T14:31:58,TwoRobotPlaceMugRack
gr00t,gr00t,unknown,gr00t,15,seen,L1_TwoRobotFoldTowel-v1,L1,TwoRobotFoldTowel,0.0,0.5012538358569145,10,2026-05-24T14:36:31,TwoRobotFoldTowel
gr00t,gr00t,unknown,gr00t,15,seen,L0_TwoRobotFoldTowel-v1,L0,TwoRobotFoldTowel,0.0,0.6537958323955536,10,2026-05-24T14:36:31,TwoRobotFoldTowel
gr00t,gr00t,unknown,gr00t,15,seen,L2_TwoRobotFoldTowel-v1,L2,TwoRobotFoldTowel,0.0,0.500052934885025,10,2026-05-24T14:38:04,TwoRobotFoldTowel
