section,quantity,value
C1,sim seen-SR mean [VLA],0.488
C1,sim seen-SR range [VLA],0.29-0.73
C1,sim seen-SR mean [Video-Skill],0.769
C1,sim seen-SR range [Video-Skill],0.75-0.79
C1,sim seen-SR mean [Video-VA],0.57
C1,sim seen-SR range [Video-VA],0.14-0.81
C1,arena WR [VLA],0.423
C1,arena WR [Video-Skill],0.644
C1,arena WR [Video-VA],0.5
C1,arena WR/Q [ACT/DINOv2],0.82 / 8.1
C1,arena WR/Q [ACT/SigLIP2],0.77 / 8.0
C1,arena WR/Q [ACT/VideoMAE],0.68 / 7.7
C1,arena WR [$\pi_{0.5}$],0.616
C2,sim Seen [act] D/S/V,0.81/0.79/0.72
C2,sim Seen [dp] D/S/V,0.67/0.61/0.14
C2,sim Seen [vqbet] D/S/V,0.52/0.57/0.30
C2,sim P+FT [act] D/S/V,0.84/0.80/0.82
C2,sim P+FT [dp] D/S/V,0.54/0.49/0.36
C2,sim P+FT [vqbet] D/S/V,0.23/0.17/0.15
C2,real ACT-45 Seen D/S/V,0.48/0.45/0.39
C2,real ACT-45 ZS D/S/V,0.30/0.27/0.25
C2,real ACT-45 Scr D/S/V,0.22/0.22/0.17
C2,real ACT-45 P+FT D/S/V,0.43/0.41/0.33
C3,delta>0 count,18/19
C3,deltaSR [$\pi_{0.5}$],0.045
C3,deltaSR [ACT/DINOv2],0.035
C3,deltaSR [ACT/SigLIP2],0.085
C3,deltaSR [ACT/VideoMAE],0.02
C3,deltaSR [DP/DINOv2],0.165
C3,deltaSR [DP/SigLIP2],0.16
C3,deltaSR [DP/VideoMAE],0.135
C3,deltaSR [GR00T],0.16
C3,deltaSR [OpenVLA],0.035
C3,deltaSR [RDT-1B],0.055
C3,deltaSR [UniSkill],-0.09
C3,deltaSR [VQ-BeT/DINOv2],0.21
C3,deltaSR [VQ-BeT/SigLIP2],0.2
C3,deltaSR [VQ-BeT/VideoMAE],0.155
C3,deltaSR [XSkill],0.12
C3,deltaSR [$\pi_{0.5}$ (real)],0.13
C3,deltaSR [ACT/DINOv2 (real)],0.17
C3,deltaSR [DP/DINOv2 (real)],0.14
C3,deltaSR [XSkill (real)],0.11
C3,real ZS 15->45 [$\pi_{0.5}$],0.04->0.04
C3,real ZS 15->45 [XSkill],0.24->0.33
C3,real ZS 15->45 [ACT/DINOv2],0.22->0.30
C3,real ZS 15->45 [DP/DINOv2],0.19->0.25
C4,sim ZS L0 15/30/45,0.08/0.06/0.06
C4,sim ZS L1 15/30/45,0.14/0.09/0.07
C4,sim ZS L2 15/30/45,0.04/0.07/0.06
C4,sim ZS L3 15/30/45,0.03/0.01/0.04
C4,sim P+FT L0 15/30/45,0.52/0.59/0.62
C4,sim P+FT L1 15/30/45,0.48/0.59/0.58
C4,sim P+FT L2 15/30/45,0.34/0.36/0.41
C4,sim P+FT L3 15/30/45,0.47/0.55/0.59
C4,real ZS L0 15/30/45,0.18/0.23/0.23
C4,real ZS L1 15/30/45,0.18/0.20/0.24
C4,real ZS L2 15/30/45,0.14/0.16/0.20
C4,real ZS L3 15/30/45,0.19/0.23/0.25
C4,real P+FT L0 15/30/45,0.34/0.44/0.48
C4,real P+FT L1 15/30/45,0.35/0.45/0.45
C4,real P+FT L2 15/30/45,0.31/0.37/0.49
C4,real P+FT L3 15/30/45,0.23/0.28/0.36
C5,real P+FT per level L0-L3,0.42/0.42/0.39/0.29
C5,sim seen per level L0-L3,0.62/0.57/0.48/0.63
C5,sim seen per level [VLA],0.55/0.42/0.36/0.62
C5,sim seen per level [Video-Skill],0.83/0.78/0.74/0.72
C5,sim seen per level [Video-VA],0.61/0.59/0.47/0.61
C5,arena seen SRhuman L0-L3,0.58/0.53/0.46/0.65
C5,arena seen Qbar L0-L3,7.25/6.98/6.70/7.46
C7,"r(SR,SRhuman) [variant x regime]",0.956
C7,"r(SubSR,Q) [variant x regime]",0.952
C7,"r(SR,SRhuman) [+ level]",0.867
C7,"r(SubSR,Q) [+ level]",0.874
C7,"r(sim,real) all regimes",0.742
C7,"r(sim,real) within Seen/P+FT",0.365
C8,seen [TwoRobotFoldTowel] L0-L3,0.71/0.66/0.42/0.54
C8,seen [TwoRobotPlaceFileFolder] L0-L3,0.64/0.55/0.51/0.76
C8,seen [TwoRobotPlaceMugRack] L0-L3,0.66/0.68/0.61/0.81
C8,seen [TwoRobotPlacePlateRack] L0-L3,0.67/0.63/0.46/0.68
C8,seen [TwoRobotStirSpoon] L0-L3,0.44/0.34/0.39/0.36
C8,unseen P+FT [TwoRobotFoldBox] L0-L3,0.78/0.82/0.80/0.70
C8,unseen P+FT [TwoRobotPickFood] L0-L3,0.37/0.44/0.05/0.46
C8,unseen P+FT [TwoRobotPickRemoteControl] L0-L3,0.67/0.67/0.51/0.52
C8,unseen P+FT [TwoRobotPourKettle] L0-L3,0.58/0.39/0.00/0.59
C8,unseen P+FT [TwoRobotScanMilkBox] L0-L3,0.48/0.45/0.50/0.42
